n,time,result,error,efficiency,accuracy
8,0.003471136093139648,1.718281842788253,7.253353876489507e-12,18,1.43292071541623e-08
64,0.006070137023925781,1.718281828459045,4.930380657631324e-32,130,8.881784197001252e-16
128,0.01830410957336426,1.718281828459045,2.465190328815662e-32,258,1.332267629550188e-15
